264575000,Y,AM,Lakenheath Departure Control,,,8000
266050000,Y,AM,Lakenheath 48 FW Ops,,,8000
266175000,Y,AM,Lakenheath 494 Air to Air,,,8000
267625000,Y,AM,Lakenheath 492 Air to Air,,,8000
276225000,Y,AM,Lakenheath A-A,,,8000
278875000,Y,AM,Lakenheath Showtime,,,8000
282675000,Y,AM,Lakenheath Panther Ops,,,8000
284800000,Y,AM,Lakenheath 492 Air to Air,,,8000
293825000,Y,AM,Lakenheath 494 Air to Air,,,8000
300050000,Y,AM,Lakenheath 494 Air to Air,,,8000
300175000,Y,AM,Lakenheath 492 Aux Air to Air,,,8000
313575000,Y,AM,Lakenheath Command Post,,,8000
315550000,Y,AM,Lakenheath SJ 336FS Mission Control,,,8000
339625000,Y,AM,Lakenheath 494 Air to Air,,,8000
340650000,Y,AM,Lakenheath Metro,,,8000
342025000,Y,AM,Lakenheath 492 Aux Air to Air,,,8000
343200000,Y,AM,Lakenheath 495 Air to Air,,,8000
343475000,Y,AM,Lakenheath SJ 336FS A-A ,,,8000
344025000,Y,AM,Lakenheath 492 Aux Air to Air,,,8000
345125000,Y,AM,Lakenheath 48 FW Showtime,,,8000
352000000,Y,AM,Lakenheath Exercise / JTAC,,,8000
356600000,Y,AM,Lakenheath SJ 336FS A-A ,,,8000
359800000,Y,AM,Lakenheath SJ 336FS A-A ,,,8000
362775000,Y,AM,Lakenheath,,,8000
369600000,Y,AM,Lakenheath 492 Air to Air,,,8000
373175000,Y,AM,Lakenheath Overlord,,,8000
373525000,Y,AM,Lakenheath Overlord,,,8000
374775000,Y,AM,Lakenheath 492 Air to Air,,,8000
375100000,Y,AM,Lakenheath 494 Air to Air,,,8000
377425000,Y,AM,Lakenheath 494 Air to Air,,,8000
377600000,Y,AM,Lakenheath 492 Air to Air,,,8000
378650000,Y,AM,Lakenheath SJ 336FS A-A ,,,8000
378950000,Y,AM,Lakenheath Dispatch,,,8000
379025000,Y,AM,Lakenheath 48 FW Showtime,,,8000
379075000,Y,AM,Lakenheath Bolar Ops,,,8000
388200000,Y,AM,Lakenheath Close Air Support,,,8000
389325000,Y,AM,Lakenheath 494 Air to Air,,,8000
398425000,Y,AM,Lakenheath 494 Air to Air,,,8000
398575000,Y,AM,Lakenheath 494 Air to Air,,,8000
127750000,Y,AM,Leeming ATC,,,8000
137200000,Y,AM,Leeming 100 Sqn Air to Air,,,8000
137225000,Y,AM,Leeming 100 Sqn Air to Air,,,8000
137450000,Y,AM,Leeming 100 Sqn Air to Air,,,8000
142050000,Y,AM,Leeming 100 Sqn Air to Air,,,8000
142325000,Y,AM,Leeming 100 Sqn Air to Air,,,8000
142375000,Y,AM,Leeming 100 Sqn Air to Air,,,8000
142875000,Y,AM,Leeming 100 Sqn Air to Air,,,8000
240350000,Y,AM,Leeming Boneyard Ops,,,8000
255850000,Y,AM,JFACTSU Leeming,,,8000
271400000,Y,AM,JFACTSU Leeming,,,8000
275400000,Y,AM,Leeming Qatar Emiri A-A,,,8000
277350000,Y,AM,JFACTSU Leeming,,,8000
278400000,Y,AM,Leeming 100 Sqn Air to Air,,,8000
